n_total,27107
n_saved_reported,8192
timclk,72000000
etr_count,27109

index,width_ticks,width_ns
1342,107,1486
1343,104,1444
1344,114,1583
1345,111,1541
1346,108,1500
1347,129,1791
1348,110,1527
1349,59,819
1350,125,1736
1351,118,1638
1352,103,1430
1353,96,1333
1354,82,1138
1355,135,1875
1356,121,1680
1357,126,1750
1358,93,1291
1359,102,1416
1360,114,1583
1361,108,1500
1362,125,1736
1363,94,1305
1364,97,1347
1365,107,1486
1366,114,1583
1367,156,2166
1368,111,1541
1369,117,1625
1370,116,1611
1371,79,1097
1372,91,1263
1373,85,1180
1374,101,1402
1375,99,1375
1376,94,1305
1377,118,1638
1378,112,1555
1379,119,1652
1380,147,2041
1381,118,1638
1382,97,1347
1383,113,1569
1384,138,1916
1385,105,1458
1386,106,1472
1387,129,1791
1388,125,1736
1389,102,1416
1390,126,1750
1391,81,1125
1392,121,1680
1393,89,1236
1394,106,1472
1395,102,1416
1396,112,1555
1397,126,1750
1398,85,1180
1399,109,1513
1400,87,1208
1401,133,1847
1402,112,1555
1403,124,1722
1404,118,1638
1405,99,1375
1406,122,1694
1407,113,1569
1408,119,1652
1409,137,1902
1410,136,1888
1411,134,1861
1412,122,1694
1413,112,1555
1414,105,1458
1415,119,1652
1416,128,1777
1417,107,1486
1418,88,1222
1419,144,2000
1420,122,1694
1421,98,1361
1422,86,1194
1423,117,1625
1424,131,1819
1425,102,1416
1426,111,1541
1427,123,1708
1428,87,1208
1429,108,1500
1430,89,1236
1431,94,1305
1432,105,1458
1433,97,1347
1434,82,1138
1435,138,1916
1436,114,1583
1437,110,1527
1438,113,1569
1439,82,1138
1440,124,1722
1441,153,2125
1442,88,1222
1443,119,1652
1444,102,1416
1445,99,1375
1446,104,1444
1447,142,1972
1448,134,1861
1449,109,1513
1450,114,1583
1451,111,1541
1452,83,1152
1453,100,1388
1454,144,2000
1455,122,1694
1456,110,1527
1457,123,1708
1458,102,1416
1459,109,1513
1460,162,2250
1461,108,1500
1462,88,1222
1463,93,1291
1464,62,861
1465,113,1569
1466,121,1680
1467,110,1527
1468,116,1611
1469,115,1597
1470,85,1180
1471,124,1722
1472,94,1305
1473,125,1736
1474,102,1416
1475,101,1402
1476,121,1680
1477,108,1500
1478,98,1361
1479,103,1430
1480,89,1236
1481,110,1527
1482,121,1680
1483,104,1444
1484,108,1500
1485,117,1625
1486,110,1527
1487,105,1458
1488,115,1597
1489,112,1555
1490,121,1680
1491,113,1569
1492,102,1416
1493,113,1569
1494,91,1263
1495,146,2027
1496,113,1569
1497,120,1666
1498,112,1555
1499,108,1500
1500,105,1458
1501,116,1611
1502,73,1013
1503,87,1208
1504,109,1513
1505,109,1513
1506,114,1583
1507,94,1305
1508,101,1402
1509,101,1402
1510,69,958
1511,103,1430
1512,106,1472
1513,102,1416
1514,108,1500
1515,86,1194
1516,121,1680
1517,119,1652
1518,99,1375
1519,107,1486
1520,96,1333
1521,100,1388
1522,110,1527
1523,115,1597
1524,95,1319
1525,114,1583
1526,112,1555
1527,117,1625
1528,115,1597
1529,112,1555
1530,102,1416
1531,147,2041
1532,106,1472
1533,112,1555
1534,97,1347
1535,110,1527
1536,137,1902
1537,90,1250
1538,107,1486
1539,144,2000
1540,81,1125
1541,117,1625
1542,103,1430
1543,101,1402
1544,93,1291
1545,109,1513
1546,76,1055
1547,110,1527
1548,115,1597
1549,133,1847
1550,115,1597
1551,117,1625
1552,122,1694
1553,127,1763
1554,115,1597
1555,118,1638
1556,93,1291
1557,130,1805
1558,124,1722
1559,100,1388
1560,119,1652
1561,108,1500
1562,99,1375
1563,65,902
1564,130,1805
1565,97,1347
1566,125,1736
1567,120,1666
1568,108,1500
1569,160,2222
1570,102,1416
1571,93,1291
1572,97,1347
1573,120,1666
1574,81,1125
1575,76,1055
1576,85,1180
1577,124,1722
1578,84,1166
1579,99,1375
1580,122,1694
1581,147,2041
1582,113,1569
1583,100,1388
1584,97,1347
1585,98,1361
1586,106,1472
1587,114,1583
1588,126,1750
1589,93,1291
1590,93,1291
1591,113,1569
1592,94,1305
1593,120,1666
1594,106,1472
1595,116,1611
1596,114,1583
1597,137,1902
1598,116,1611
1599,82,1138
1600,123,1708
1601,109,1513
1602,67,930
1603,123,1708
1604,126,1750
1605,124,1722
1606,131,1819
1607,117,1625
1608,117,1625
1609,109,1513
1610,119,1652
1611,103,1430
1612,90,1250
1613,113,1569
1614,118,1638
1615,115,1597
1616,87,1208
1617,117,1625
1618,100,1388
1619,106,1472
1620,113,1569
1621,117,1625
1622,110,1527
1623,110,1527
1624,110,1527
1625,123,1708
1626,108,1500
1627,115,1597
1628,87,1208
1629,92,1277
1630,103,1430
1631,106,1472
1632,96,1333
1633,97,1347
1634,140,1944
1635,101,1402
1636,118,1638
1637,114,1583
1638,113,1569
1639,115,1597
1640,97,1347
1641,129,1791
1642,105,1458
1643,121,1680
1644,141,1958
1645,110,1527
1646,87,1208
1647,108,1500
1648,96,1333
1649,124,1722
1650,140,1944
1651,63,875
1652,105,1458
1653,120,1666
1654,76,1055
1655,115,1597
1656,136,1888
1657,131,1819
1658,100,1388
1659,101,1402
1660,102,1416
1661,100,1388
1662,123,1708
1663,120,1666
1664,108,1500
1665,151,2097
1666,103,1430
1667,38,527
1668,131,1819
1669,103,1430
1670,134,1861
1671,117,1625
1672,111,1541
1673,87,1208
1674,94,1305
1675,107,1486
1676,108,1500
1677,119,1652
1678,88,1222
1679,121,1680
1680,106,1472
1681,81,1125
1682,116,1611
1683,106,1472
1684,109,1513
1685,113,1569
1686,106,1472
1687,114,1583
1688,100,1388
1689,82,1138
1690,63,875
1691,80,1111
1692,79,1097
1693,174,2416
1694,123,1708
1695,140,1944
1696,90,1250
1697,132,1833
1698,107,1486
1699,108,1500
1700,111,1541
1701,106,1472
1702,83,1152
1703,109,1513
1704,133,1847
1705,78,1083
1706,107,1486
1707,114,1583
1708,148,2055
1709,103,1430
1710,83,1152
1711,103,1430
1712,114,1583
1713,154,2138
1714,105,1458
1715,129,1791
1716,117,1625
1717,91,1263
1718,69,958
1719,107,1486
1720,133,1847
1721,145,2013
1722,102,1416
1723,109,1513
1724,147,2041
1725,117,1625
1726,102,1416
1727,136,1888
1728,82,1138
1729,102,1416
1730,132,1833
1731,118,1638
1732,139,1930
1733,117,1625
1734,133,1847
1735,97,1347
1736,160,2222
1737,87,1208
1738,115,1597
1739,97,1347
1740,72,1000
1741,129,1791
1742,104,1444
1743,110,1527
1744,137,1902
1745,110,1527
1746,112,1555
1747,119,1652
1748,90,1250
1749,84,1166
1750,135,1875
1751,94,1305
1752,132,1833
1753,67,930
1754,88,1222
1755,128,1777
1756,101,1402
1757,88,1222
1758,107,1486
1759,145,2013
1760,81,1125
1761,112,1555
1762,113,1569
1763,117,1625
1764,111,1541
1765,97,1347
1766,107,1486
1767,111,1541
1768,108,1500
1769,95,1319
1770,90,1250
1771,109,1513
1772,120,1666
1773,91,1263
1774,114,1583
1775,84,1166
1776,100,1388
1777,109,1513
1778,128,1777
1779,125,1736
1780,101,1402
1781,166,2305
1782,115,1597
1783,115,1597
1784,96,1333
1785,96,1333
1786,121,1680
1787,22,305
1788,137,1902
1789,121,1680
1790,152,2111
1791,112,1555
1792,114,1583
1793,109,1513
1794,128,1777
1795,153,2125
1796,121,1680
1797,126,1750
1798,90,1250
1799,99,1375
1800,111,1541
1801,123,1708
1802,133,1847
1803,102,1416
1804,119,1652
1805,128,1777
1806,56,777
1807,125,1736
1808,112,1555
1809,67,930
1810,105,1458
1811,109,1513
1812,89,1236
1813,117,1625
1814,98,1361
1815,84,1166
1816,136,1888
1817,111,1541
1818,88,1222
1819,80,1111
1820,102,1416
1821,101,1402
1822,95,1319
1823,137,1902
1824,85,1180
1825,101,1402
1826,108,1500
1827,130,1805
1828,120,1666
1829,103,1430
1830,116,1611
1831,118,1638
1832,122,1694
1833,114,1583
1834,110,1527
1835,128,1777
1836,130,1805
1837,73,1013
1838,132,1833
1839,103,1430
1840,117,1625
1841,105,1458
1842,78,1083
1843,108,1500
1844,124,1722
1845,105,1458
1846,109,1513
1847,122,1694
1848,112,1555
