cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
5,11,111,1541
5,12,100,1388
5,13,118,1638
5,14,134,1861
5,15,109,1513
5,16,124,1722
5,17,135,1875
5,18,103,1430
5,19,98,1361
5,20,132,1833
5,21,92,1277
5,22,85,1180
5,23,99,1375
5,24,112,1555
5,25,80,1111
5,26,88,1222
5,27,96,1333
5,28,126,1750
5,29,126,1750
5,30,117,1625
5,31,133,1847
5,32,122,1694
5,33,132,1833
5,34,109,1513
5,35,118,1638
5,36,102,1416
5,37,88,1222
5,38,122,1694
5,39,102,1416
5,40,92,1277
5,41,97,1347
5,42,101,1402
5,43,96,1333
5,44,92,1277
5,45,99,1375
5,46,89,1236
5,47,98,1361
5,48,113,1569
5,49,107,1486
6,0,86,1194
6,1,129,1791
6,2,105,1458
6,3,82,1138
6,4,128,1777
6,5,135,1875
6,6,98,1361
6,7,125,1736
6,8,112,1555
6,9,103,1430
6,10,120,1666
6,11,108,1500
6,12,138,1916
6,13,88,1222
6,14,111,1541
6,15,90,1250
6,16,137,1902
6,17,107,1486
6,18,116,1611
6,19,122,1694
6,20,109,1513
6,21,105,1458
6,22,87,1208
6,23,113,1569
6,24,103,1430
6,25,102,1416
6,26,99,1375
6,27,92,1277
6,28,82,1138
6,29,108,1500
6,30,109,1513
6,31,107,1486
6,32,101,1402
6,33,80,1111
6,34,100,1388
6,35,143,1986
6,36,119,1652
6,37,124,1722
6,38,125,1736
6,39,104,1444
6,40,84,1166
6,41,114,1583
6,42,78,1083
6,43,104,1444
6,44,124,1722
6,45,109,1513
6,46,113,1569
6,47,118,1638
6,48,112,1555
6,49,145,2013
6,50,96,1333
6,51,109,1513
6,52,124,1722
6,53,120,1666
6,54,87,1208
6,55,83,1152
6,56,98,1361
6,57,138,1916
6,58,102,1416
6,59,115,1597
6,60,96,1333
7,0,102,1416
7,1,111,1541
7,2,105,1458
7,3,106,1472
7,4,96,1333
7,5,120,1666
7,6,111,1541
7,7,112,1555
7,8,113,1569
7,9,90,1250
7,10,72,1000
7,11,107,1486
7,12,102,1416
7,13,120,1666
7,14,116,1611
7,15,141,1958
7,16,127,1763
7,17,120,1666
7,18,116,1611
7,19,119,1652
7,20,98,1361
7,21,84,1166
7,22,146,2027
7,23,98,1361
7,24,106,1472
7,25,120,1666
7,26,134,1861
7,27,112,1555
7,28,116,1611
7,29,84,1166
7,30,89,1236
7,31,110,1527
7,32,107,1486
7,33,127,1763
7,34,94,1305
7,35,141,1958
7,36,125,1736
7,37,125,1736
7,38,106,1472
7,39,123,1708
7,40,121,1680
7,41,87,1208
7,42,94,1305
7,43,85,1180
7,44,106,1472
7,45,114,1583
7,46,82,1138
7,47,117,1625
7,48,105,1458
7,49,124,1722
7,50,112,1555
7,51,42,583
7,52,103,1430
7,53,119,1652
7,54,102,1416
7,55,86,1194
8,0,107,1486
8,1,83,1152
8,2,117,1625
8,3,118,1638
8,4,111,1541
8,5,109,1513
8,6,98,1361
8,7,127,1763
8,8,146,2027
8,9,103,1430
8,10,90,1250
8,11,127,1763
8,12,119,1652
8,13,151,2097
8,14,95,1319
8,15,107,1486
8,16,126,1750
8,17,102,1416
8,18,92,1277
8,19,127,1763
8,20,92,1277
8,21,108,1500
8,22,82,1138
8,23,115,1597
8,24,116,1611
8,25,147,2041
8,26,145,2013
8,27,84,1166
8,28,121,1680
8,29,143,1986
8,30,104,1444
8,31,117,1625
8,32,127,1763
8,33,128,1777
8,34,107,1486
8,35,96,1333
8,36,176,2444
8,37,98,1361
8,38,126,1750
8,39,111,1541
8,40,98,1361
8,41,100,1388
8,42,118,1638
8,43,107,1486
8,44,81,1125
8,45,101,1402
8,46,89,1236
8,47,143,1986
8,48,119,1652
8,49,69,958
8,50,118,1638
8,51,84,1166
8,52,96,1333
8,53,119,1652
8,54,109,1513
8,55,93,1291
8,56,104,1444
8,57,84,1166
8,58,101,1402
8,59,118,1638
8,60,128,1777
8,61,112,1555
8,62,114,1583
8,63,112,1555
8,64,100,1388
9,0,99,1375
9,1,120,1666
9,2,115,1597
9,3,93,1291
9,4,139,1930
9,5,114,1583
9,6,90,1250
9,7,110,1527
9,8,102,1416
9,9,109,1513
9,10,108,1500
9,11,113,1569
9,12,115,1597
9,13,127,1763
9,14,115,1597
9,15,108,1500
9,16,109,1513
9,17,107,1486
9,18,87,1208
9,19,99,1375
9,20,140,1944
9,21,133,1847
9,22,95,1319
9,23,113,1569
9,24,107,1486
9,25,106,1472
9,26,126,1750
9,27,108,1500
9,28,112,1555
9,29,92,1277
9,30,119,1652
9,31,104,1444
9,32,119,1652
9,33,93,1291
9,34,102,1416
9,35,122,1694
9,36,85,1180
9,37,140,1944
9,38,122,1694
9,39,128,1777
9,40,100,1388
9,41,92,1277
9,42,110,1527
9,43,101,1402
9,44,82,1138
9,45,97,1347
9,46,107,1486
9,47,150,2083
9,48,109,1513
9,49,110,1527
9,50,126,1750
9,51,130,1805
10,0,98,1361
10,1,91,1263
10,2,93,1291
10,3,123,1708
10,4,115,1597
10,5,141,1958
10,6,105,1458
10,7,102,1416
10,8,121,1680
