cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
599,1,73,73,73,73,
600,1,92,92,92,92,
601,1,81,80,80,80,
602,1,95,95,95,95,
603,1,88,88,88,88,
604,1,87,87,87,87,
605,1,87,87,87,87,
606,1,79,79,79,79,
607,1,80,80,80,80,
608,1,88,88,88,88,
609,1,86,86,86,86,
610,1,99,99,99,99,
611,1,67,67,67,67,
612,1,67,67,67,67,
613,1,82,82,82,82,
614,1,80,80,80,80,
615,1,77,77,77,77,
616,1,84,84,84,84,
617,1,94,94,94,94,
618,1,73,73,73,73,
619,1,84,84,84,84,
620,1,85,85,85,85,
621,1,80,80,80,80,
622,1,78,78,78,78,
623,1,83,83,83,83,
624,1,85,85,85,85,
625,1,103,103,103,103,
626,1,101,101,101,101,
627,1,84,84,84,84,
628,1,74,74,74,74,
629,1,73,73,73,73,
630,1,94,94,94,94,
631,1,70,70,70,70,
632,1,82,82,82,82,
633,1,74,74,74,74,
634,1,65,65,65,65,
635,1,100,100,100,100,
636,1,77,77,77,77,
637,1,95,95,95,95,
638,1,78,78,78,78,
639,1,100,100,100,100,
640,1,95,95,95,95,
641,1,84,84,84,84,
642,1,78,78,78,78,
643,1,81,81,81,81,
644,1,81,81,81,81,
645,1,84,84,84,84,
646,1,79,79,79,79,
647,1,65,65,65,65,
648,1,84,84,84,84,
649,1,90,90,90,90,
650,1,83,83,83,83,
651,1,80,80,80,80,
652,1,85,85,85,85,
653,1,93,93,93,93,
654,1,76,76,76,76,
655,1,72,72,72,72,
656,1,77,77,77,77,
657,1,79,79,79,79,
658,1,86,86,86,86,
659,1,81,81,81,81,
660,1,86,86,86,86,
661,1,79,79,79,79,
662,1,79,79,79,79,
663,1,89,89,89,89,
664,1,95,95,95,95,
665,1,83,83,83,83,
666,1,80,80,80,80,
667,1,68,68,68,68,
668,1,95,95,95,95,
669,1,78,78,78,78,
670,1,82,82,82,82,
671,1,92,92,92,92,
672,1,86,86,86,86,
673,1,72,72,72,72,
674,1,70,70,70,70,
675,1,76,76,76,76,
676,1,57,57,57,57,
677,1,87,87,87,87,
678,1,70,70,70,70,
679,1,64,64,64,64,
680,1,86,86,86,86,
681,1,101,101,101,101,
682,1,85,85,85,85,
683,1,89,89,89,89,
684,1,91,91,91,91,
685,1,85,85,85,85,
686,1,66,66,66,66,
687,1,78,78,78,78,
688,1,69,69,69,69,
689,1,87,87,87,87,
690,1,78,78,78,78,
691,1,84,84,84,84,
692,1,73,73,73,73,
693,1,72,72,72,72,
694,1,60,60,60,60,
695,1,88,88,88,88,
696,1,79,79,79,79,
697,1,64,64,64,64,
698,1,65,65,65,65,
699,1,73,73,73,73,
700,1,72,72,72,72,
701,1,72,72,72,72,
702,1,69,69,69,69,
703,1,69,69,69,69,
704,1,67,67,67,67,
705,1,74,74,74,74,
706,1,86,86,86,86,
707,1,61,61,61,61,
708,1,63,63,63,63,
709,1,88,88,88,88,
710,1,75,75,75,75,
711,1,67,67,67,67,
712,1,65,65,65,65,
713,1,88,88,88,88,
714,1,76,76,76,76,
715,1,84,84,84,84,
716,1,63,63,63,63,
717,1,72,72,72,72,
718,1,79,79,79,79,
719,1,66,66,66,66,
720,1,65,65,65,65,
721,1,75,75,75,75,
722,1,64,64,64,64,
723,1,70,70,70,70,
724,1,77,77,77,77,
725,1,70,70,70,70,
726,1,64,64,64,64,
727,1,75,75,75,75,
728,1,73,73,73,73,
729,1,82,82,82,82,
