cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
36,1,203,2819.0
36,2,201,2791.0
36,3,195,2708.0
36,4,169,2347.0
36,5,153,2125.0
36,6,140,1944.0
36,7,150,2083.0
36,8,195,2708.0
36,9,162,2250.0
36,10,208,2888.0
36,11,192,2666.0
36,12,172,2388.0
36,13,194,2694.0
36,14,164,2277.0
36,15,200,2777.0
37,0,154,2138.0
37,1,191,2652.0
37,2,200,2777.0
37,3,125,1736.0
37,4,201,2791.0
37,5,197,2736.0
37,6,192,2666.0
37,7,207,2875.0
37,8,144,2000.0
38,0,155,2152.0
38,1,195,2708.0
38,2,199,2763.0
38,3,157,2180.0
38,4,201,2791.0
38,5,196,2722.0
38,6,197,2736.0
38,7,182,2527.0
38,8,132,1833.0
38,9,202,2805.0
38,10,202,2805.0
38,11,190,2638.0
38,12,150,2083.0
38,13,203,2819.0
38,14,201,2791.0
38,15,148,2055.0
38,16,212,2944.0
38,17,200,2777.0
38,18,166,2305.0
38,19,150,2083.0
38,20,199,2763.0
38,21,200,2777.0
38,22,177,2458.0
39,0,168,2333.0
39,1,204,2833.0
39,2,199,2763.0
39,3,212,2944.0
39,4,164,2277.0
39,5,168,2333.0
39,6,200,2777.0
39,7,196,2722.0
39,8,127,1763.0
39,9,206,2861.0
39,10,205,2847.0
39,11,142,1972.0
39,12,209,2902.0
39,13,200,2777.0
39,14,200,2777.0
39,15,196,2722.0
39,16,197,2736.0
39,17,199,2763.0
39,18,197,2736.0
39,19,172,2388.0
39,20,172,2388.0
39,21,160,2222.0
40,0,217,3013.0
40,1,126,1750.0
40,2,148,2055.0
40,3,144,2000.0
40,4,204,2833.0
40,5,186,2583.0
40,6,194,2694.0
40,7,200,2777.0
40,8,140,1944.0
40,9,130,1805.0
40,10,193,2680.0
40,11,165,2291.0
40,12,183,2541.0
40,13,198,2750.0
40,14,208,2888.0
40,15,192,2666.0
40,16,199,2763.0
40,17,200,2777.0
40,18,196,2722.0
40,19,147,2041.0
40,20,200,2777.0
40,21,145,2013.0
40,22,134,1861.0
40,23,180,2500.0
41,0,154,2138.0
41,1,197,2736.0
41,2,197,2736.0
41,3,197,2736.0
41,4,187,2597.0
41,5,200,2777.0
41,6,146,2027.0
41,7,142,1972.0
41,8,191,2652.0
41,9,171,2375.0
41,10,121,1680.0
41,11,156,2166.0
41,12,202,2805.0
41,13,175,2430.0
41,14,175,2430.0
41,15,198,2750.0
41,16,205,2847.0
42,0,112,1555.0
42,1,140,1944.0
42,2,214,2972.0
42,3,181,2513.0
42,4,144,2000.0
42,5,200,2777.0
42,6,202,2805.0
42,7,173,2402.0
42,8,175,2430.0
42,9,182,2527.0
42,10,196,2722.0
42,11,157,2180.0
42,12,138,1916.0
42,13,153,2125.0
42,14,135,1875.0
42,15,188,2611.0
43,0,139,1930.0
43,1,194,2694.0
43,2,194,2694.0
43,3,138,1916.0
43,4,199,2763.0
43,5,204,2833.0
43,6,171,2375.0
43,7,138,1916.0
43,8,199,2763.0
43,9,155,2152.0
43,10,184,2555.0
43,11,167,2319.0
43,12,191,2652.0
43,13,190,2638.0
43,14,192,2666.0
43,15,145,2013.0
43,16,174,2416.0
43,17,199,2763.0
43,18,171,2375.0
44,0,201,2791.0
44,1,121,1680.0
44,2,201,2791.0
44,3,181,2513.0
44,4,171,2375.0
44,5,192,2666.0
44,6,149,2069.0
44,7,161,2236.0
44,8,189,2625.0
44,9,193,2680.0
44,10,161,2236.0
44,11,202,2805.0
44,12,178,2472.0
44,13,194,2694.0
44,14,155,2152.0
44,15,200,2777.0
44,16,142,1972.0
44,17,138,1916.0
44,18,183,2541.0
